location,country_code,latitude,longitude,confirmed,dead,recovered,updated
Assam,in,26.2006043,92.9375739,8227,12,5647,2020-07-01 06:48:22.696131+00:00
Nordrhein-Westfalen,de,51.4332367,7.6615938,63155,1837,None,2020-09-17 03:50:23.359123+00:00
Arkansas,us,35.20105,-91.8318334,71497,1150,None,2020-09-15 03:48:00.263063+00:00
Nova Scotia,ca,44.6819866,-63.744311,1086,65,None,2020-09-16 00:00:00+00:00
Kentucky,us,37.8393332,-84.2700179,61986,1112,None,2020-09-15 03:48:00.263063+00:00
California,us,36.778261,-119.4179324,769917,14606,None,2020-09-15 03:48:00.263063+00:00
Maine,us,45.253783,-69.4454689,4939,134,None,2020-09-17 03:45:35.025537+00:00
Northwest Territories,ca,64.8255441,-124.8457334,5,0,None,2020-09-16 00:00:00+00:00
Thüringen,de,51.0109892,10.845346,3834,189,None,2020-09-17 03:50:23.432581+00:00
New York,us,40.7127753,-74.0059728,450425,32655,None,2020-09-15 03:48:00.263063+00:00
Andaman and Nicobar Islands,in,11.7400867,92.6586401,97,0,50,2020-07-01 06:48:22.696131+00:00
Oregon,us,43.8041334,-120.5542012,29664,519,None,2020-09-15 03:48:00.263063+00:00
Montana,us,46.8796822,-110.3625658,9281,141,None,2020-09-15 03:48:00.263063+00:00
Colorado,us,39.5500507,-105.7820674,62575,2006,None,2020-09-15 03:48:00.263063+00:00
Quebec,ca,52.9399159,-73.5491361,65857,5788,None,2020-09-16 00:00:00+00:00
Illinois,us,40.6331249,-89.3985283,267380,8589,None,2020-09-15 03:48:00.263063+00:00
New Hampshire,us,43.1938516,-71.5723953,7750,438,0,2020-09-15 03:48:03.012143+00:00
Rondônia,br,-11.5057341,-63.580611,11224,296,3700,2020-06-12 00:00:00+00:00
Niedersachsen**,de,52.6367036,9.8450766,13136,618,None,2020-06-22 08:34:45.398910+00:00
West Bengal,in,22.9867569,87.8549755,18559,668,12130,2020-07-01 06:48:22.696131+00:00
